2025-11-08 08:04:06 | InsightSphere | INFO | database.py:19 | using dev
2025-11-08 08:04:58 | InsightSphere | INFO | db_service.py:15 | using dev
2025-11-08 08:06:57 | InsightSphere | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-08 08:07:01 | InsightSphere | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-08 08:07:02 | InsightSphere | INFO | multimodal_retriever.py:33 | Loading Cross-Encoder Reranker Model...
2025-11-08 08:07:41 | InsightSphere | INFO | multimodal_retriever.py:36 | Cross-Encoder Loaded.
2025-11-08 08:07:42 | InsightSphere | INFO | database.py:64 | ✅ Database tables created successfully
2025-11-08 08:07:42 | InsightSphere | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-08 08:07:45 | InsightSphere | INFO | database.py:19 | using dev
2025-11-08 08:08:03 | InsightSphere | INFO | db_service.py:15 | using dev
2025-11-08 08:08:07 | InsightSphere | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-08 08:08:11 | InsightSphere | INFO | semantic_rag_cache.py:28 | ✅ Semantic cache initialized (threshold: 0.85)
2025-11-08 08:08:12 | InsightSphere | INFO | multimodal_retriever.py:33 | Loading Cross-Encoder Reranker Model...
2025-11-08 08:08:15 | InsightSphere | INFO | multimodal_retriever.py:36 | Cross-Encoder Loaded.
2025-11-08 08:08:17 | InsightSphere | INFO | database.py:64 | ✅ Database tables created successfully
2025-11-08 08:08:17 | InsightSphere | INFO | main.py:32 | 🚀 Application started and database tables verified
2025-11-08 08:08:17 | InsightSphere | INFO | db_service.py:99 | ✅ Loaded 4 chat conversations for user ravishankerdas020@gmail.com
2025-11-08 08:08:17 | InsightSphere | INFO | documents.py:35 | 📋 Found 4 documents with chat history for user ravishankerdas020@gmail.com
2025-11-08 08:08:17 | InsightSphere | INFO | query.py:211 | 📂 Loading chat for user ravishankerdas020@gmail.com, document: ml_llm_interview_cheat_sheet.pdf
2025-11-08 08:08:17 | InsightSphere | INFO | db_service.py:76 | ✅ Loaded 4 messages for ml_llm_interview_cheat_sheet.pdf
2025-11-08 08:08:17 | InsightSphere | INFO | query.py:211 | 📂 Loading chat for user ravishankerdas020@gmail.com, document: ravi_attentive.pdf
2025-11-08 08:08:17 | InsightSphere | INFO | db_service.py:76 | ✅ Loaded 2 messages for ravi_attentive.pdf
